Airport,City,CountOfFlights,IATA,Latitude,Longitude,PathId,PointOrder
Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",128,ABE,40.652099609375,-75.44080352783203,0,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,0,1
Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",113,ABE,40.652099609375,-75.44080352783203,1,0
Detroit Metropolitan Wayne County Airport,"Detroit, MI",0,DTW,42.212398529052734,-83.35340118408203,1,1
Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",78,ABE,40.652099609375,-75.44080352783203,2,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,2,1
Abilene Regional Airport,"Abilene, TX",41,ABI,32.4113006592,-99.68190002440001,3,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,3,1
Albuquerque International Sunport Airport,"Albuquerque, NM",94,ABQ,35.04019927978516,-106.60900115966795,4,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,4,1
Albuquerque International Sunport Airport,"Albuquerque, NM",9,ABQ,35.04019927978516,-106.60900115966795,5,0
Austin Bergstrom International Airport,"Austin, TX",0,AUS,30.194499969482425,-97.6698989868164,5,1
Albuquerque International Sunport Airport,"Albuquerque, NM",59,ABQ,35.04019927978516,-106.60900115966795,6,0
Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",0,BWI,39.17539978,-76.66829681,6,1
Albuquerque International Sunport Airport,"Albuquerque, NM",273,ABQ,35.04019927978516,-106.60900115966795,7,0
Dallas Love Field,"Dallas, TX",0,DAL,32.84709930419922,-96.85179901123048,7,1
Albuquerque International Sunport Airport,"Albuquerque, NM",289,ABQ,35.04019927978516,-106.60900115966795,8,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,8,1
Albuquerque International Sunport Airport,"Albuquerque, NM",249,ABQ,35.04019927978516,-106.60900115966795,9,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,9,1
Albuquerque International Sunport Airport,"Albuquerque, NM",162,ABQ,35.04019927978516,-106.60900115966795,10,0
William P Hobby Airport,"Houston, TX",0,HOU,29.64539909,-95.27890015,10,1
Albuquerque International Sunport Airport,"Albuquerque, NM",136,ABQ,35.04019927978516,-106.60900115966795,11,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,11,1
Albuquerque International Sunport Airport,"Albuquerque, NM",36,ABQ,35.04019927978516,-106.60900115966795,12,0
John F Kennedy International Airport,"New York, NY",0,JFK,40.63980103,-73.77890015,12,1
Albuquerque International Sunport Airport,"Albuquerque, NM",218,ABQ,35.04019927978516,-106.60900115966795,13,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,13,1
Albuquerque International Sunport Airport,"Albuquerque, NM",117,ABQ,35.04019927978516,-106.60900115966795,14,0
Los Angeles International Airport,"Los Angeles, CA",0,LAX,33.94250107,-118.40799709999999,14,1
Albuquerque International Sunport Airport,"Albuquerque, NM",51,ABQ,35.04019927978516,-106.60900115966795,15,0
Kansas City International Airport,"Kansas City, MO",0,MCI,39.2976,-94.713898,15,1
Albuquerque International Sunport Airport,"Albuquerque, NM",64,ABQ,35.04019927978516,-106.60900115966795,16,0
Chicago Midway International Airport,"Chicago, IL",0,MDW,41.7859992980957,-87.75240325927734,16,1
Albuquerque International Sunport Airport,"Albuquerque, NM",2,ABQ,35.04019927978516,-106.60900115966795,17,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,17,1
Albuquerque International Sunport Airport,"Albuquerque, NM",106,ABQ,35.04019927978516,-106.60900115966795,18,0
Metropolitan Oakland International Airport,"Oakland, CA",0,OAK,37.72129821777344,-122.22100067138672,18,1
Albuquerque International Sunport Airport,"Albuquerque, NM",4,ABQ,35.04019927978516,-106.60900115966795,19,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,19,1
Albuquerque International Sunport Airport,"Albuquerque, NM",4,ABQ,35.04019927978516,-106.60900115966795,20,0
Portland International Airport,"Portland, OR",0,PDX,45.58869934,-122.59799960000001,20,1
Albuquerque International Sunport Airport,"Albuquerque, NM",379,ABQ,35.04019927978516,-106.60900115966795,21,0
Phoenix Sky Harbor International Airport,"Phoenix, AZ",0,PHX,33.43429946899414,-112.01200103759766,21,1
Albuquerque International Sunport Airport,"Albuquerque, NM",110,ABQ,35.04019927978516,-106.60900115966795,22,0
San Diego International Airport,"San Diego, CA",0,SAN,32.7336006165,-117.190002441,22,1
Albuquerque International Sunport Airport,"Albuquerque, NM",59,ABQ,35.04019927978516,-106.60900115966795,23,0
Seattle Tacoma International Airport,"Seattle, WA",0,SEA,47.44900131225586,-122.30899810791016,23,1
Albuquerque International Sunport Airport,"Albuquerque, NM",59,ABQ,35.04019927978516,-106.60900115966795,24,0
San Francisco International Airport,"San Francisco, CA",0,SFO,37.61899948120117,-122.375,24,1
Albuquerque International Sunport Airport,"Albuquerque, NM",162,ABQ,35.04019927978516,-106.60900115966795,25,0
Salt Lake City International Airport,"Salt Lake City, UT",0,SLC,40.78839874267578,-111.97799682617188,25,1
Aberdeen Regional Airport,"Aberdeen, SD",118,ABR,45.44910049438477,-98.42179870605469,26,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,26,1
Southwest Georgia Regional Airport,"Albany, GA",159,ABY,31.535499572753906,-84.19450378417969,27,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,27,1
Waco Regional Airport,"Waco, TX",207,ACT,31.61129951477051,-97.23049926757812,28,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,28,1
Arcata Airport,"Arcata/Eureka, CA",176,ACV,40.97809982299805,-124.10900115966795,29,0
San Francisco International Airport,"San Francisco, CA",0,SFO,37.61899948120117,-122.375,29,1
Atlantic City International Airport,"Atlantic City, NJ",177,ACY,39.45759963989258,-74.57720184326172,30,0
Fort Lauderdale Hollywood International Airport,"Fort Lauderdale, FL",0,FLL,26.072599411010746,-80.15270233154297,30,1
Atlantic City International Airport,"Atlantic City, NJ",118,ACY,39.45759963989258,-74.57720184326172,31,0
Orlando International Airport,"Orlando, FL",0,MCO,28.429399490356445,-81.30899810791016,31,1
Atlantic City International Airport,"Atlantic City, NJ",59,ACY,39.45759963989258,-74.57720184326172,32,0
Myrtle Beach International Airport,"Myrtle Beach, SC",0,MYR,33.6796989441,-78.9282989502,32,1
Atlantic City International Airport,"Atlantic City, NJ",59,ACY,39.45759963989258,-74.57720184326172,33,0
Palm Beach International Airport,"West Palm Beach/Palm Beach, FL",0,PBI,26.68320083618164,-80.09559631347656,33,1
Atlantic City International Airport,"Atlantic City, NJ",118,ACY,39.45759963989258,-74.57720184326172,34,0
Southwest Florida International Airport,"Fort Myers, FL",0,RSW,26.53619956970215,-81.75520324707031,34,1
Atlantic City International Airport,"Atlantic City, NJ",98,ACY,39.45759963989258,-74.57720184326172,35,0
Tampa International Airport,"Tampa, FL",0,TPA,27.975500106811523,-82.533203125,35,1
Adak Airport,"Adak Island, AK",17,ADK,51.87799835205078,-176.64599609375,36,0
Ted Stevens Anchorage International Airport,"Anchorage, AK",0,ANC,61.174400329589844,-149.99600219726562,36,1
Kodiak Airport,"Kodiak, AK",77,ADQ,57.75,-152.4940033,37,0
Ted Stevens Anchorage International Airport,"Anchorage, AK",0,ANC,61.174400329589844,-149.99600219726562,37,1
Alexandria International Airport,"Alexandria, LA",193,AEX,31.32740020751953,-92.54979705810548,38,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,38,1
Alexandria International Airport,"Alexandria, LA",162,AEX,31.32740020751953,-92.54979705810548,39,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,39,1
Alexandria International Airport,"Alexandria, LA",143,AEX,31.32740020751953,-92.54979705810548,40,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,40,1
Augusta Regional At Bush Field,"Augusta, GA",373,AGS,33.36989974975586,-81.9645004272461,41,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,41,1
Albany International Airport,"Albany, NY",164,ALB,42.74829864501953,-73.80169677734375,42,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,42,1
Albany International Airport,"Albany, NY",277,ALB,42.74829864501953,-73.80169677734375,43,0
Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",0,BWI,39.17539978,-76.66829681,43,1
Albany International Airport,"Albany, NY",168,ALB,42.74829864501953,-73.80169677734375,44,0
Charlotte Douglas International Airport,"Charlotte, NC",0,CLT,35.2140007019043,-80.94309997558594,44,1
Albany International Airport,"Albany, NY",123,ALB,42.74829864501953,-73.80169677734375,45,0
Detroit Metropolitan Wayne County Airport,"Detroit, MI",0,DTW,42.212398529052734,-83.35340118408203,45,1
Albany International Airport,"Albany, NY",6,ALB,42.74829864501953,-73.80169677734375,46,0
Newark Liberty International Airport,"Newark, NJ",0,EWR,40.69250106811523,-74.168701171875,46,1
Albany International Airport,"Albany, NY",118,ALB,42.74829864501953,-73.80169677734375,47,0
Fort Lauderdale Hollywood International Airport,"Fort Lauderdale, FL",0,FLL,26.072599411010746,-80.15270233154297,47,1
Albany International Airport,"Albany, NY",59,ALB,42.74829864501953,-73.80169677734375,48,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,48,1
Albany International Airport,"Albany, NY",233,ALB,42.74829864501953,-73.80169677734375,49,0
Orlando International Airport,"Orlando, FL",0,MCO,28.429399490356445,-81.30899810791016,49,1
Albany International Airport,"Albany, NY",117,ALB,42.74829864501953,-73.80169677734375,50,0
Chicago Midway International Airport,"Chicago, IL",0,MDW,41.7859992980957,-87.75240325927734,50,1
Albany International Airport,"Albany, NY",2,ALB,42.74829864501953,-73.80169677734375,51,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,51,1
Albany International Airport,"Albany, NY",121,ALB,42.74829864501953,-73.80169677734375,52,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,52,1
Albany International Airport,"Albany, NY",1,ALB,42.74829864501953,-73.80169677734375,53,0
Southwest Florida International Airport,"Fort Myers, FL",0,RSW,26.53619956970215,-81.75520324707031,53,1
Albany International Airport,"Albany, NY",82,ALB,42.74829864501953,-73.80169677734375,54,0
Tampa International Airport,"Tampa, FL",0,TPA,27.975500106811523,-82.533203125,54,1
Rick Husband Amarillo International Airport,"Amarillo, TX",224,AMA,35.219398498535156,-101.70600128173828,55,0
Dallas Love Field,"Dallas, TX",0,DAL,32.84709930419922,-96.85179901123048,55,1
Rick Husband Amarillo International Airport,"Amarillo, TX",50,AMA,35.219398498535156,-101.70600128173828,56,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,56,1
Rick Husband Amarillo International Airport,"Amarillo, TX",151,AMA,35.219398498535156,-101.70600128173828,57,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,57,1
Rick Husband Amarillo International Airport,"Amarillo, TX",59,AMA,35.219398498535156,-101.70600128173828,58,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,58,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",17,ANC,61.174400329589844,-149.99600219726562,59,0
Adak Airport,"Adak Island, AK",0,ADK,51.87799835205078,-176.64599609375,59,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",77,ANC,61.174400329589844,-149.99600219726562,60,0
Kodiak Airport,"Kodiak, AK",0,ADQ,57.75,-152.4940033,60,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",159,ANC,61.174400329589844,-149.99600219726562,61,0
Bethel Airport,"Bethel, AK",0,BET,60.77980042,-161.8379974,61,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",34,ANC,61.174400329589844,-149.99600219726562,62,0
Wiley Post Will Rogers Memorial Airport,"Barrow, AK",0,BRW,71.285402,-156.766008,62,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",58,ANC,61.174400329589844,-149.99600219726562,63,0
Merle K (Mudhole) Smith Airport,"Cordova, AK",0,CDV,60.49179839999999,-145.4779968,63,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",62,ANC,61.174400329589844,-149.99600219726562,64,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,64,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",59,ANC,61.174400329589844,-149.99600219726562,65,0
Fairbanks International Airport,"Fairbanks, AK",0,FAI,64.81510162,-147.85600280000003,65,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",59,ANC,61.174400329589844,-149.99600219726562,66,0
Honolulu International Airport,"Honolulu, HI",0,HNL,21.318700790405273,-157.9219970703125,66,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",227,ANC,61.174400329589844,-149.99600219726562,67,0
Juneau International Airport,"Juneau, AK",0,JNU,58.35499954223633,-134.57600402832028,67,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",16,ANC,61.174400329589844,-149.99600219726562,68,0
Kona International At Keahole Airport,"Kona, HI",0,KOA,19.738800048828125,-156.04600524902344,68,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",25,ANC,61.174400329589844,-149.99600219726562,69,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,69,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",67,ANC,61.174400329589844,-149.99600219726562,70,0
Los Angeles International Airport,"Los Angeles, CA",0,LAX,33.94250107,-118.40799709999999,70,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",53,ANC,61.174400329589844,-149.99600219726562,71,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,71,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",32,ANC,61.174400329589844,-149.99600219726562,72,0
Kahului Airport,"Kahului, HI",0,OGG,20.89859962463379,-156.42999267578125,72,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",68,ANC,61.174400329589844,-149.99600219726562,73,0
Nome Airport,"Nome, AK",0,OME,64.51219940185547,-165.44500732421875,73,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",11,ANC,61.174400329589844,-149.99600219726562,74,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,74,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",108,ANC,61.174400329589844,-149.99600219726562,75,0
Ralph Wien Memorial Airport,"Kotzebue, AK",0,OTZ,66.88469696,-162.598999,75,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",133,ANC,61.174400329589844,-149.99600219726562,76,0
Portland International Airport,"Portland, OR",0,PDX,45.58869934,-122.59799960000001,76,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",26,ANC,61.174400329589844,-149.99600219726562,77,0
Phoenix Sky Harbor International Airport,"Phoenix, AZ",0,PHX,33.43429946899414,-112.01200103759766,77,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",118,ANC,61.174400329589844,-149.99600219726562,78,0
Deadhorse Airport,"Deadhorse, AK",0,SCC,70.19470215,-148.46499630000002,78,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",864,ANC,61.174400329589844,-149.99600219726562,79,0
Seattle Tacoma International Airport,"Seattle, WA",0,SEA,47.44900131225586,-122.30899810791016,79,1
Ted Stevens Anchorage International Airport,"Anchorage, AK",3,ANC,61.174400329589844,-149.99600219726562,80,0
San Francisco International Airport,"San Francisco, CA",0,SFO,37.61899948120117,-122.375,80,1
Alpena County Regional Airport,"Alpena, MI",59,APN,45.07809829999999,-83.56030273,81,0
Detroit Metropolitan Wayne County Airport,"Detroit, MI",0,DTW,42.212398529052734,-83.35340118408203,81,1
Alpena County Regional Airport,"Alpena, MI",41,APN,45.07809829999999,-83.56030273,82,0
Pellston Regional Airport of Emmet County Airport,"Pellston, MI",0,PLN,45.57089996,-84.79669952,82,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",59,ASE,39.22320175,-106.8690033,83,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,83,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",418,ASE,39.22320175,-106.8690033,84,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,84,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",58,ASE,39.22320175,-106.8690033,85,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,85,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",144,ASE,39.22320175,-106.8690033,86,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,86,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",307,ASE,39.22320175,-106.8690033,87,0
Los Angeles International Airport,"Los Angeles, CA",0,LAX,33.94250107,-118.40799709999999,87,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",2,ASE,39.22320175,-106.8690033,88,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,88,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",244,ASE,39.22320175,-106.8690033,89,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,89,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",86,ASE,39.22320175,-106.8690033,90,0
San Francisco International Airport,"San Francisco, CA",0,SFO,37.61899948120117,-122.375,90,1
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",59,ASE,39.22320175,-106.8690033,91,0
Salt Lake City International Airport,"Salt Lake City, UT",0,SLC,40.78839874267578,-111.97799682617188,91,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",128,ATL,33.63669967651367,-84.4281005859375,92,0
Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",0,ABE,40.652099609375,-75.44080352783203,92,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",94,ATL,33.63669967651367,-84.4281005859375,93,0
Albuquerque International Sunport Airport,"Albuquerque, NM",0,ABQ,35.04019927978516,-106.60900115966795,93,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",159,ATL,33.63669967651367,-84.4281005859375,94,0
Southwest Georgia Regional Airport,"Albany, GA",0,ABY,31.535499572753906,-84.19450378417969,94,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",193,ATL,33.63669967651367,-84.4281005859375,95,0
Alexandria International Airport,"Alexandria, LA",0,AEX,31.32740020751953,-92.54979705810548,95,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",373,ATL,33.63669967651367,-84.4281005859375,96,0
Augusta Regional At Bush Field,"Augusta, GA",0,AGS,33.36989974975586,-81.9645004272461,96,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",164,ATL,33.63669967651367,-84.4281005859375,97,0
Albany International Airport,"Albany, NY",0,ALB,42.74829864501953,-73.80169677734375,97,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",59,ATL,33.63669967651367,-84.4281005859375,98,0
Aspen-Pitkin Co/Sardy Field,"Aspen, CO",0,ASE,39.22320175,-106.8690033,98,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",109,ATL,33.63669967651367,-84.4281005859375,99,0
Appleton International Airport,"Appleton, WI",0,ATW,44.258098602299995,-88.51909637450001,99,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",506,ATL,33.63669967651367,-84.4281005859375,100,0
Austin Bergstrom International Airport,"Austin, TX",0,AUS,30.194499969482425,-97.6698989868164,100,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",276,ATL,33.63669967651367,-84.4281005859375,101,0
Asheville Regional Airport,"Asheville, NC",0,AVL,35.43619918823242,-82.54180145263672,101,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",51,ATL,33.63669967651367,-84.4281005859375,102,0
Wilkes Barre Scranton International Airport,"Scranton/Wilkes-Barre, PA",0,AVP,41.338500976599995,-75.72339630130001,102,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",359,ATL,33.63669967651367,-84.4281005859375,103,0
Bradley International Airport,"Hartford, CT",0,BDL,41.9388999939,-72.68319702149999,103,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",480,ATL,33.63669967651367,-84.4281005859375,104,0
Birmingham-Shuttlesworth International Airport,"Birmingham, AL",0,BHM,33.56290054,-86.75350189,104,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",165,ATL,33.63669967651367,-84.4281005859375,105,0
Central Illinois Regional Airport at Bloomington-Normal,"Bloomington/Normal, IL",0,BMI,40.47710037,-88.91590118,105,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",524,ATL,33.63669967651367,-84.4281005859375,106,0
Nashville International Airport,"Nashville, TN",0,BNA,36.1245002746582,-86.6781997680664,106,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",794,ATL,33.63669967651367,-84.4281005859375,107,0
General Edward Lawrence Logan International Airport,"Boston, MA",0,BOS,42.36429977,-71.00520325,107,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",160,ATL,33.63669967651367,-84.4281005859375,108,0
Brunswick Golden Isles Airport,"Brunswick, GA",0,BQK,31.2588005065918,-81.46649932861328,108,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",430,ATL,33.63669967651367,-84.4281005859375,109,0
"Baton Rouge Metropolitan, Ryan Field","Baton Rouge, LA",0,BTR,30.53319931,-91.14959717,109,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",59,ATL,33.63669967651367,-84.4281005859375,110,0
Burlington International Airport,"Burlington, VT",0,BTV,44.471900939899996,-73.15329742429998,110,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",247,ATL,33.63669967651367,-84.4281005859375,111,0
Buffalo Niagara International Airport,"Buffalo, NY",0,BUF,42.94049835,-78.73220062,111,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",933,ATL,33.63669967651367,-84.4281005859375,112,0
Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",0,BWI,39.17539978,-76.66829681,112,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",18,ATL,33.63669967651367,-84.4281005859375,113,0
Gallatin Field,"Bozeman, MT",0,BZN,45.77750015,-111.15299990000001,113,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",427,ATL,33.63669967651367,-84.4281005859375,114,0
Columbia Metropolitan Airport,"Columbia, SC",0,CAE,33.93880081176758,-81.11949920654297,114,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",380,ATL,33.63669967651367,-84.4281005859375,115,0
Akron Canton Regional Airport,"Akron, OH",0,CAK,40.916099548339844,-81.44219970703125,115,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",505,ATL,33.63669967651367,-84.4281005859375,116,0
Lovell Field,"Chattanooga, TN",0,CHA,35.03530120849609,-85.20379638671875,116,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",193,ATL,33.63669967651367,-84.4281005859375,117,0
Charlottesville Albemarle Airport,"Charlottesville, VA",0,CHO,38.13859939575195,-78.4529037475586,117,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",515,ATL,33.63669967651367,-84.4281005859375,118,0
Charleston Air Force Base-International Airport,"Charleston, SC",0,CHS,32.89860153,-80.04049683,118,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",118,ATL,33.63669967651367,-84.4281005859375,119,0
The Eastern Iowa Airport,"Cedar Rapids/Iowa City, IA",0,CID,41.88470077514648,-91.71080017089844,119,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",431,ATL,33.63669967651367,-84.4281005859375,120,0
Cleveland Hopkins International Airport,"Cleveland, OH",0,CLE,41.411701202399996,-81.8498001099,120,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",1005,ATL,33.63669967651367,-84.4281005859375,121,0
Charlotte Douglas International Airport,"Charlotte, NC",0,CLT,35.2140007019043,-80.94309997558594,121,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",589,ATL,33.63669967651367,-84.4281005859375,122,0
Port Columbus International Airport,"Columbus, OH",0,CMH,39.99800109863281,-82.89189910888672,122,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",44,ATL,33.63669967651367,-84.4281005859375,123,0
City of Colorado Springs Municipal Airport,"Colorado Springs, CO",0,COS,38.805801391602,-104.70099639893,123,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",260,ATL,33.63669967651367,-84.4281005859375,124,0
Yeager Airport,"Charleston/Dunbar, WV",0,CRW,38.37310028076172,-81.59320068359375,124,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",162,ATL,33.63669967651367,-84.4281005859375,125,0
Columbus Metropolitan Airport,"Columbus, GA",0,CSG,32.516300201416016,-84.93890380859375,125,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",375,ATL,33.63669967651367,-84.4281005859375,126,0
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",0,CVG,39.0488014221,-84.6678009033,126,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",237,ATL,33.63669967651367,-84.4281005859375,127,0
Daytona Beach International Airport,"Daytona Beach, FL",0,DAB,29.179899,-81.058098,127,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",555,ATL,33.63669967651367,-84.4281005859375,128,0
Dallas Love Field,"Dallas, TX",0,DAL,32.84709930419922,-96.85179901123048,128,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",220,ATL,33.63669967651367,-84.4281005859375,129,0
James M Cox Dayton International Airport,"Dayton, OH",0,DAY,39.90240097045898,-84.21939849853516,129,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",891,ATL,33.63669967651367,-84.4281005859375,130,0
Ronald Reagan Washington National Airport,"Washington, DC",0,DCA,38.8521,-77.037697,130,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",792,ATL,33.63669967651367,-84.4281005859375,131,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,131,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",1073,ATL,33.63669967651367,-84.4281005859375,132,0
Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",0,DFW,32.896800994873054,-97.03800201416016,132,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",215,ATL,33.63669967651367,-84.4281005859375,133,0
Dothan Regional Airport,"Dothan, AL",0,DHN,31.3213005065918,-85.44960021972656,133,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",151,ATL,33.63669967651367,-84.4281005859375,134,0
Des Moines International Airport,"Des Moines, IA",0,DSM,41.53400039672852,-93.66310119628906,134,1
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",877,ATL,33.63669967651367,-84.4281005859375,135,0
